Formula,Sites,Energy above Hull,Formation Energy,Predicted Stable,Volume,Density,Band Gap,Bulk Modulus Voigt,Bulk Modulus Reuss,Bulk Modulus VRH,Shear Modulus Voigt,Shear Modulus Reuss,Shear Modulus VRH
Ca,1,0.9729114900000012,0.9729114900000012,False,292.3682938336179,0.227627571825722,0.0,,,,,,
Ca,4,0.005909895,0.005909895,False,174.2736112022339,1.527508022472714,0.0,17.427,17.272,17.349,11.453,10.296,10.874
Ca,1,0.02121779,0.02121779,False,42.2866034962744,1.5738101266525022,0.0,16.882,16.88,16.881,11.096,-4.639,3.229
Ca,1,0.005616039999999,0.005616039999999,False,42.710594052600456,1.558186821803846,0.0,15.845,15.845,15.845,4.073,-16.642,-6.284
Ca,1,0.0,0.0,True,43.36096382607296,1.534815625204312,0.0,17.224,17.224,17.224,8.984,6.006,7.495
Cd,1,0.037120430000001,0.037120430000001,False,21.82742895475344,8.551756480459066,0.0,,,,,,
Cd,1,0.024284360000002,0.024284360000002,False,21.93906692037408,8.508240468614689,0.0,,,,,,
Cd,4,0.022316200000002,0.022316200000002,False,86.4220349760752,8.63959554144948,0.0,,,,,,
Cd,1,0.065309160000001,0.065309160000001,False,22.723733218584616,8.21444501306283,0.0,,,,,,
Cd,2,0.0,0.0,True,44.61503857901331,8.367710214348122,0.0,41.965,41.854,41.91,14.07,12.755,13.413
Ce,1,0.228250405,0.228250405,False,29.35476252608928,7.9260764466733455,0.0,,,,,,
Ce,4,0.074905172500002,0.074905172500002,False,103.68141349817512,8.976270056727989,0.0,34.742,34.616,34.679,25.219,22.437,23.828
Ce,2,0.10881668,0.10881668,False,50.84182749700175,9.15262504556692,0.0,32.021,31.852,31.937,42.034,22.503,32.268
Ce,1,0.0,0.0,True,25.50164500404376,9.123650329962311,0.0,39.339,39.337,39.338,38.235,29.664,33.95
Ce,2,0.003860715000001,0.003860715000001,False,50.80323465993319,9.15957786598274,0.0,,,,,,
Ce,2,0.03472009,0.03472009,False,50.76117369167572,9.16716753907054,0.0,45.141,43.197,44.169,33.699,31.453,32.576
Cl2,4,6.139999999987822e-06,6.139999999987822e-06,False,112.68394086403646,2.089777516716536,2.2818,3.525,0.787,2.156,2.12,0.388,1.254
Cl2,4,0.0,0.0,True,112.8611575109618,2.086496109964204,2.5434,,,,,,
Cl2,16,0.072993284374999,0.072993284374999,False,1027.043291379622,0.917135112372348,2.6476,,,,,,
